cluster,var,mean,sd,min,max
1,age,71.9,8.1,54,89
1,sex,0.46,0.5,0,1
1,pdonset,58.28,10.27,35,87
1,durat_pd,13.62,7.76,0,40
1,cisitot,16.72,4.14,4,24
2,age,62.65,9.63,37,89
2,sex,0.36,0.48,0,1
2,pdonset,56.13,10.47,28,89
2,durat_pd,6.52,4.66,0,25
2,cisitot,5.58,3.12,0,15
3,age,64.79,9.3,44,86
3,sex,0.47,0.5,0,1
3,pdonset,56.2,10.71,35,85
3,durat_pd,8.59,6.16,0,27
3,cisitot,9.23,3.88,2,19
4,age,66.27,9.47,40,86
4,sex,0.33,0.47,0,1
4,pdonset,57.84,11.06,32,84
4,durat_pd,8.43,5.64,0,31
4,cisitot,10.06,3.49,3,22
