"cluster","variable","mean","sd","min","max"
1,"age",71.902,8.105,54,89
1,"sex",0.459,0.502,0,1
1,"pdonset",58.279,10.27,35,87
1,"durat_pd",13.623,7.764,0,40
1,"cisitot",16.721,4.144,4,24
2,"age",62.648,9.632,37,89
2,"sex",0.36,0.481,0,1
2,"pdonset",56.126,10.474,28,89
2,"durat_pd",6.522,4.664,0,25
2,"cisitot",5.581,3.115,0,15
3,"age",64.786,9.3,44,86
3,"sex",0.469,0.501,0,1
3,"pdonset",56.2,10.711,35,85
3,"durat_pd",8.586,6.163,0,27
3,"cisitot",9.234,3.882,2,19
4,"age",66.266,9.465,40,86
4,"sex",0.33,0.471,0,1
4,"pdonset",57.837,11.056,32,84
4,"durat_pd",8.429,5.643,0,31
4,"cisitot",10.059,3.493,3,22
