"cluster","variable","mean","sd","min","max","se"
1,"age",71.902,8.105,54,89,1.038
1,"sex",0.459,0.502,0,1,0.064
1,"pdonset",58.279,10.27,35,87,1.315
1,"durat_pd",13.623,7.764,0,40,0.994
1,"cisitot",16.721,4.144,4,24,0.531
1,"nms_d1",6.918,6.54,0,24,0.837
1,"nms_d2",21.082,9.608,0,48,1.23
1,"nms_d3",21.934,14.311,0,54,1.832
1,"nms_d4",9.492,7.094,0,33,0.908
1,"nms_d5",14.557,11.266,0,36,1.442
1,"nms_d6",16.623,9.768,0,36,1.251
1,"nms_d7",20.918,10.054,0,36,1.287
1,"nms_d8",8.23,9.819,0,24,1.257
1,"nms_d9",13.557,9.756,0,34,1.249
1,"tremor",3.902,4.085,0,12,0.523
1,"bradykin",4.607,1.201,0,6,0.154
1,"rigidity",4.377,1.128,2,6,0.144
1,"axial",8.639,2.221,4,12,0.284
1,"pigd",8.689,2.118,4,12,0.271
2,"age",62.648,9.632,37,89,0.499
2,"sex",0.36,0.481,0,1,0.025
2,"pdonset",56.126,10.474,28,89,0.543
2,"durat_pd",6.522,4.664,0,25,0.242
2,"cisitot",5.581,3.115,0,15,0.162
2,"nms_d1",0.696,1.568,0,12,0.081
2,"nms_d2",4.336,5.034,0,24,0.261
2,"nms_d3",3.177,4.72,0,24,0.245
2,"nms_d4",0.438,1.513,0,14,0.078
2,"nms_d5",2.707,4.41,0,24,0.229
2,"nms_d6",2.987,4.078,0,24,0.211
2,"nms_d7",4.503,6.212,0,36,0.322
2,"nms_d8",1.892,3.585,0,20,0.186
2,"nms_d9",4.188,5.254,0,25,0.272
2,"tremor",1.927,1.915,0,10,0.099
2,"bradykin",1.68,0.956,0,5,0.05
2,"rigidity",1.597,0.965,0,5,0.05
2,"axial",1.64,1.476,0,7,0.077
2,"pigd",1.715,1.59,0,7,0.082
3,"age",64.786,9.3,44,86,0.772
3,"sex",0.469,0.501,0,1,0.042
3,"pdonset",56.2,10.711,35,85,0.889
3,"durat_pd",8.586,6.163,0,27,0.512
3,"cisitot",9.234,3.882,2,19,0.322
3,"nms_d1",2.952,3.501,0,13,0.291
3,"nms_d2",15.903,8.888,0,45,0.738
3,"nms_d3",19.6,15.245,0,60,1.266
3,"nms_d4",2.876,4.575,0,20,0.38
3,"nms_d5",10.814,8.94,0,36,0.742
3,"nms_d6",8.6,7.199,0,28,0.598
3,"nms_d7",14.055,10.075,0,36,0.837
3,"nms_d8",7.379,7.873,0,24,0.654
3,"nms_d9",13.641,8.676,0,48,0.721
3,"tremor",1.697,1.994,0,8,0.166
3,"bradykin",2.283,1.097,0,5,0.091
3,"rigidity",2.062,1.088,0,4,0.09
3,"axial",3.414,2.094,0,10,0.174
3,"pigd",3.469,2.135,0,12,0.177
4,"age",66.266,9.465,40,86,0.664
4,"sex",0.33,0.471,0,1,0.033
4,"pdonset",57.837,11.056,32,84,0.776
4,"durat_pd",8.429,5.643,0,31,0.396
4,"cisitot",10.059,3.493,3,22,0.245
4,"nms_d1",1.305,2.268,0,10,0.159
4,"nms_d2",7.862,6.811,0,32,0.478
4,"nms_d3",7.069,8.714,0,60,0.612
4,"nms_d4",0.655,1.617,0,11,0.113
4,"nms_d5",3.03,4.247,0,22,0.298
4,"nms_d6",5.217,5.74,0,26,0.403
4,"nms_d7",6.271,6.589,0,33,0.462
4,"nms_d8",2.542,4.252,0,24,0.298
4,"nms_d9",5.404,6.09,0,31,0.427
4,"tremor",4.054,2.844,0,12,0.2
4,"bradykin",3.502,0.956,1,6,0.067
4,"rigidity",3.276,0.976,0,6,0.069
4,"axial",4.581,2.29,0,11,0.161
4,"pigd",4.685,2.256,0,11,0.158
