Age	356	5	1		12	1
Sex						
PD_onset						
PD_duration	2356	1	1		1	1
CISI_PD_total	23456	156	16	16	126	12345
Tremor	6	6	6	6	6	12345
Bradykinesia	456	6	6	16	16	12345
Rigidity	6	6	6	6	6	12345
Axial	23456	156	16	16	126	12345
Motor_comp	2456	16	6	16	16	12345
Lightheadedness	23456	156	16	16	126	12345
Fainting	6	6	6	6	6	12345
Drowsiness	23456	156	156	156	1234	1234
Fatigue	23456	145	15	12	123	1
Insomnia	23456	14	14	123	1	1
RLS	2456	136	256	16	13	1234
Loss_interest	2456	1456	456	1235	1234	123
Loss_activities	2456	1456	456	12356	1234	1234
Anxiety	2456	1456	456	123	123	123
Depression	2456	13456	2456	123	123	123
Flat_affect	2456	145	456	1235	1234	13
Loss_pleasure	456	456	456	12356	1234	1234
Hallucination	56	56	56	56	12346	12345
Delusion	456	456	456	1236	1236	12345
Diplopia	56	56	56	56	1234	1234
Loss_concentration	23456	156	156	15	1234	123
Forget_explicit	23456	156	156	156	12346	12345
Forget_implicit	23456	156	156	156	12346	12345
Drooling	23456	156	16	16	12	1234
Swallowing	2356	16	16	6	16	12345
Constipation	23456	16	16	16	16	12345
Urinary_urgency	23456	1356	124	1356	124	124
Urinary_frequency	3456	3456	124	12356	124	124
Nocturia	3456	3456	124	1235	124	12
Sex_drive	23456	15	15	15	1234	1
Sex_dysfunction	3456	35	12	15	124	1
Unexplained_pain	23456	1	1	1	1	1
Gustation_olfaction	2456	1		1	1	1
Weight_change	2456	15	5	1	123	1
Sweating	23456	1	1	1	1	1
